File,Drug,ADE,Sentence
ARTHROTEC.103,arthotec,bleeding,it seems as if bleeding forever is a side effect but doctors tell you that its not the drug i have been on arthotec for three months i still have pain and stiffness at first week into this drug i was in so much pain i sat on the floor at work and thought i was gaving a baby.
ARTHROTEC.103,arthotec,pain,it seems as if bleeding forever is a side effect but doctors tell you that its not the drug i have been on arthotec for three months i still have pain and stiffness at first week into this drug i was in so much pain i sat on the floor at work and thought i was gaving a baby.
ARTHROTEC.103,arthotec,so much pain,it seems as if bleeding forever is a side effect but doctors tell you that its not the drug i have been on arthotec for three months i still have pain and stiffness at first week into this drug i was in so much pain i sat on the floor at work and thought i was gaving a baby.
ARTHROTEC.103,arthotec,stiffness,it seems as if bleeding forever is a side effect but doctors tell you that its not the drug i have been on arthotec for three months i still have pain and stiffness at first week into this drug i was in so much pain i sat on the floor at work and thought i was gaving a baby.
ARTHROTEC.106,arthrotec,pain,i took 50 milligrams. 3 times a day of arthrotec and was almost pain free.
ARTHROTEC.123,arthrotec,abdominal pain,i had extreme abdominal pain that came on almost instantly and lasted hours from taking the arthrotec for the first time.
ARTHROTEC.129,gas-x,gas,nothing that over the counter tums or gas-x couldn't control.
ARTHROTEC.129,tums,gas,nothing that over the counter tums or gas-x couldn't control.
ARTHROTEC.129,arthrotec,limp,"after starting on arthrotec, i am able walk with almost no pain and somethimes, no limp."
ARTHROTEC.129,arthrotec,pain,"after starting on arthrotec, i am able walk with almost no pain and somethimes, no limp."
ARTHROTEC.130,arthrotec 50,pain,"within 2 days of taking the arthrotec 50 twice daily , the pain was gone."
ARTHROTEC.132,arthrotec,blood in my stools,"i was advised to take arthrotec with zantac when necessary, as it would counter the affect on the stomach. 2 weeks later after very small doses there is blood in my stools, major cramps and i have to have a colonoscopy."
ARTHROTEC.132,arthrotec,major cramps,"i was advised to take arthrotec with zantac when necessary, as it would counter the affect on the stomach. 2 weeks later after very small doses there is blood in my stools, major cramps and i have to have a colonoscopy."
ARTHROTEC.132,zantac,blood in my stools,"i was advised to take arthrotec with zantac when necessary, as it would counter the affect on the stomach. 2 weeks later after very small doses there is blood in my stools, major cramps and i have to have a colonoscopy."
ARTHROTEC.132,zantac,major cramps,"i was advised to take arthrotec with zantac when necessary, as it would counter the affect on the stomach. 2 weeks later after very small doses there is blood in my stools, major cramps and i have to have a colonoscopy."
ARTHROTEC.133,celebrex,hip pain,"spine and hip pain is greatly reduced! menopausal, so waiting to see if minor period bleeding starts like it did with celebrex."
ARTHROTEC.133,celebrex,menopausal,"spine and hip pain is greatly reduced! menopausal, so waiting to see if minor period bleeding starts like it did with celebrex."
ARTHROTEC.133,celebrex,minor period bleeding,"spine and hip pain is greatly reduced! menopausal, so waiting to see if minor period bleeding starts like it did with celebrex."
ARTHROTEC.137,prednisone,excessive mestrual bleeding,"fyi i reacted about the same way excessive mestrual bleeding to oral, low-dose prednisone, as well."
ARTHROTEC.143,arthrotec,severe abdominal pain,took 50 milligrams arthrotec with one tylenol 3 and within 30 minutes i had the most severe abdominal pain i've ever experienced.
