file,TP,FP,FN,Precision,Recall,F1
ARTHROTEC.1,0,1,1,0.0,0.0,0.0
ARTHROTEC.10,0,0,0,0.0,0.0,0.0
ARTHROTEC.100,0,0,0,0.0,0.0,0.0
ARTHROTEC.101,0,0,0,0.0,0.0,0.0
ARTHROTEC.102,1,0,0,1.0,1.0,1.0
ARTHROTEC.103,1,0,0,1.0,1.0,1.0
ARTHROTEC.104,0,0,0,0.0,0.0,0.0
ARTHROTEC.105,2,0,0,1.0,1.0,1.0
ARTHROTEC.106,1,0,0,1.0,1.0,1.0
ARTHROTEC.107,0,0,0,0.0,0.0,0.0
ARTHROTEC.108,1,0,0,1.0,1.0,1.0
ARTHROTEC.109,0,0,0,0.0,0.0,0.0
ARTHROTEC.11,1,0,0,1.0,1.0,1.0
ARTHROTEC.110,0,0,0,0.0,0.0,0.0
ARTHROTEC.111,0,0,0,0.0,0.0,0.0
ARTHROTEC.112,0,0,0,0.0,0.0,0.0
ARTHROTEC.113,1,0,0,1.0,1.0,1.0
ARTHROTEC.114,1,0,0,1.0,1.0,1.0
ARTHROTEC.115,0,0,0,0.0,0.0,0.0
ARTHROTEC.116,0,0,0,0.0,0.0,0.0
ARTHROTEC.117,0,0,0,0.0,0.0,0.0
ARTHROTEC.118,0,0,0,0.0,0.0,0.0
ARTHROTEC.119,0,0,0,0.0,0.0,0.0
ARTHROTEC.12,0,0,0,0.0,0.0,0.0
ARTHROTEC.120,1,0,0,1.0,1.0,1.0
ARTHROTEC.121,0,0,0,0.0,0.0,0.0
ARTHROTEC.122,0,1,1,0.0,0.0,0.0
ARTHROTEC.123,1,0,0,1.0,1.0,1.0
ARTHROTEC.124,0,0,0,0.0,0.0,0.0
ARTHROTEC.125,0,0,0,0.0,0.0,0.0
ARTHROTEC.126,0,0,0,0.0,0.0,0.0
ARTHROTEC.127,1,0,0,1.0,1.0,1.0
ARTHROTEC.128,0,0,0,0.0,0.0,0.0
ARTHROTEC.129,3,0,0,1.0,1.0,1.0
